Filename: /Users/nkrell/Box Sync/Kenya/rem-sense/S1A_IW_GRDH_1SDV_20170126T154808_20170126T154833_015004_018819_7091_Cal_TC.data/Sigma0_VV_TC_db												
ROI: mrc_ranch_house [Red] 195 points												
Basic Stats	       Min	     Max	     Mean	   Stdev								
     Band 1	-20.208261	6.025762	-8.866403	5.289712				ROI	Min	Max	Mean	Stdev
Histogram  	        DN	   Npts	  Total	 Percent	 Acc Pct			mrc_ranch_house	-20.208261	6.025762	-8.866403	5.289712
           	-7.382413	0	88	0	97.7778							
           	-7.3295	0	88	0	97.7778							
           	-7.276587	1	89	1.1111	98.8889							
           	-7.223674	0	89	0	98.8889							
           	-7.170761	0	89	0	98.8889							
           	-7.117848	0	89	0	98.8889							
           	-7.064935	0	89	0	98.8889							
           	-7.012022	0	89	0	98.8889							
           	-6.959109	0	89	0	98.8889							
           	-6.906196	0	89	0	98.8889							
           	-6.853283	0	89	0	98.8889							
           	-6.800369	0	89	0	98.8889							
           	-6.747456	0	89	0	98.8889							
           	-6.694543	1	90	1.1111	100							
Stats for ROI: river_2 [Blue] 96 points												
Basic Stats	       Min	      Max	      Mean	   Stdev								
     Band 1	-18.365091	-5.820825	-13.164463	2.851231								
Histogram  	        DN	   Npts	  Total	 Percent	 Acc Pct							
Band 1     	-18.365091	1	1	1.0417	1.0417							
Bin=0.04919	-18.315898	0	1	0	1.0417							
           	-18.266705	0	1	0	1.0417							
           	-18.217512	0	1	0	1.0417							
           	-18.168319	0	1	0	1.0417							
           	-18.119125	0	1	0	1.0417							
           	-18.069932	1	2	1.0417	2.0833							
           	-18.020739	1	3	1.0417	3.125							
           	-17.971546	0	3	0	3.125							
           	-17.922352	0	3	0	3.125							
           	-17.873159	1	4	1.0417	4.1667							
           	-17.823966	1	5	1.0417	5.2083							
           	-17.774773	1	6	1.0417	6.25							
           	-17.72558	0	6	0	6.25							
           	-17.676386	1	7	1.0417	7.2917							
           	-17.627193	0	7	0	7.2917							
           	-17.578	0	7	0	7.2917							
           	-17.528807	0	7	0	7.2917							
           	-17.479614	0	7	0	7.2917							
           	-17.43042	0	7	0	7.2917							
           	-17.381227	0	7	0	7.2917							
           	-17.332034	1	8	1.0417	8.3333							
           	-17.282841	0	8	0	8.3333							
           	-17.233648	1	9	1.0417	9.375							
